"id"	"eid"	"sex"
1309200	1309200	1
1309269	1309269	1
1309464	1309464	1
1309680	1309680	0
1309838	1309838	1
1309998	1309998	0
1310224	1310224	0
1310304	1310304	0
1310420	1310420	0
1310468	1310468	1
1310485	1310485	1
1310529	1310529	0
1310769	1310769	0
1310828	1310828	1
1310933	1310933	1
1311069	1311069	1
1311141	1311141	1
1311373	1311373	1
1311568	1311568	1
1311927	1311927	0
1311953	1311953	1
1312065	1312065	0
1312575	1312575	0
1312606	1312606	1
1312612	1312612	1
1312637	1312637	1
1312849	1312849	1
1313061	1313061	1
1313349	1313349	0
1313613	1313613	0
1313880	1313880	0
1313929	1313929	1
1314346	1314346	0
1314684	1314684	1
1314692	1314692	1
1315481	1315481	0
1315720	1315720	1
1315743	1315743	1
1315751	1315751	0
1315829	1315829	0
1316393	1316393	1
1316653	1316653	1
1316731	1316731	1
1316792	1316792	1
1316830	1316830	1
1316859	1316859	1
1317514	1317514	0
1317521	1317521	0
1317761	1317761	0
1317965	1317965	1
1318243	1318243	0
1318342	1318342	1
1318369	1318369	0
